AI_FEARS_US_TITLE1;우리의 힘을 두려워하는 $TAG_0_0_UPPER$!;;;;;;;;;;;;x;
AI_FEARS_US_DESC1_LONG;저희 특파원이 $TAG_0_0$의 소문들을 보내오고 있습니다. 익명의 소식통에 따르면 지난 몇 달 동안 고위 군 장교들이 수도에서 일련의 회의를 열었다고 합니다. 이 회의의 주요 주제는 전쟁 선포 이후 우리 군이 그들을 침략했다는 가정 하의 가상 시나리오입니다. 역습 방안과 유격전 방식까지 논의했다고 합니다. 분명히 $TAG_0_0$군의 최고사령부가 최악의 상황에 대비하는 것 같습니다. 그들이 우리 때문에 두려움에 떨고 있는 것 같습니다!;;;;;;;;;;;;x;
AI_FEARS_US_DESC1_MEDIUM;익명의 소식통에 따르면 지난 몇 달 동안 $TAG_0_0$ 정부가 최악의 상황을 대비해오고 있다고 합니다. $TAG_0_0$군의 최고사령부가 우리 군에 겁을 먹은 것 같습니다.;;;;;;;;;;;;x;
AI_FEARS_US_DESC1_SHORT;익명의 소식통에 따르면 지난 몇 달 동안 고위 군 장교들이 수도에서 일련의 회의를 열었다고 합니다. 그들은 우리 군대의 침략을 심각하게 여기는 것 같습니다!;;;;;;;;;;;;x;
AI_FEARS_US_TITLE2;$TAG_0_0$에게 다가오는 공포!;;;;;;;;;;;;x;
AI_FEARS_US_DESC2_LONG;최근 한 $TAG_0_0$ 신문에 실린 기사가 우리나라를 놀라게 했습니다! 양국간의 냉랭한 관계와 상대적인 군사적 강점을 세심하게 비교한 편집자는 양국이 곧 전쟁상태에 빠질 수 있으며, 그날이 오면 $TAG_0_0$의 존재 자체가 위협받을 수 있다는 결론을 내렸습니다. 엘리트와 일반인을 막론하고 정부에게 피할 수 없는 위협을 줄려면 더 강한 동맹을 찾아야 한다고 말합니다.;;;;;;;;;;;;x;
AI_FEARS_US_DESC2_MEDIUM;최근 한 $TAG_0_0$ 신문에 실린 기사가 우리나라를 놀라게 했습니다! 양국간의 냉랭한 관계와 상대적인 군사적 강점을 세심하게 비교한 편집자는 양국이 곧 전쟁상태에 빠질 수 있다는 결론을 내렸습니다.;;;;;;;;;;;;x;
AI_FEARS_US_DESC2_SHORT;양국간의 냉랭한 관계와 상대적인 군사적 강점을 세심하게 비교한 한 편집자가 양국이 곧 전쟁상태에 빠질 수 있다는 결론을 내리면서 우리나라를 놀라게 했습니다.;;;;;;;;;;;;x;
AI_FEARS_US_TITLE3;$TAG_0_0$의 모욕!;;;;;;;;;;;;x;
AI_FEARS_US_DESC3_LONG;편견과 증오가 $TAG_0_0$을(를) 지배합니다. 월요일, $TAG_0_0$ 외무장관이 우리 대사관의 잔디밭에서 우리 대사를 모욕했습니다. 우리 외교부 장관은 논평을 통해 '이번 사태야말로 그들이 문명적인 방식으로 행동할 거라 믿을 수 없다는 증거입니다. $TAG_0_0$을(를) 지배하는 자들은 미개하고 치졸한 인간들입니다. 이러한 쓰레기들은 빨리 근절할수록 좋습니다.'라고 밝혔습니다. 아직 외교소식통은 열려있지만, 전쟁은 불가피합니다.;;;;;;;;;;;;x;
