Key;English;;;;;;;;;;;;;
PROV2477;워넘불;;;;;;;;;;;;;
PROV1795;밤부후;;;;;;;;;;;;;
PROV1905;시아;;;;;;;;;;;;;
PROV1981;엘바;;;;;;;;;;;;;
PROV2131;포클랜드 및 사우스조지아;;;;;;;;;;;;;
PROV3319;바이타이;;;;;;;;;;;;;
PROV3320;바이라아테아;;;;;;;;;;;;;
PROV3321;누쿠타바케;;;;;;;;;;;;;
PROV3322;피나키;;;;;;;;;;;;;
FRA_411;아르덴;;;;;;;;;;;;;
PROV934;사마와;;;;;;;;;;;;;
AUS_627;오버슐레지엔;;;;;;;;;;;;;
ABU_1162;아라비아만;;;;;;;;;;;;;
EGY_897;서부 시리아;;;;;;;;;;;;;
EGY_903;동부 시리아;;;;;;;;;;;;;
PROV928;바쿠바;;;;;;;;;;;;;
PROV1813;하사카;;;;;;;;;;;;;
PROV907;데이르에즈조르;;;;;;;;;;;;;
PROV901;라카;;;;;;;;;;;;;
PROV2133;기잡;;;;;;;;;;;;;
PROV1214;자랑;;;;;;;;;;;;;
PROV582;빌레펠트;;;;;;;;;;;;;
FRA_400;샴페인;;;;;;;;;;;;;
PROV2346;콜로니아;;;;;;;;;;;;;
PROV1447;탈리아부;;;;;;;;;;;;;
BEL_1977;하부 콩고;;;;;;;;;;;;;
TUR_832;테살리아;;;;;;;;;;;;;
PROV1972;바라카;;;;;;;;;;;;;
EGY_1758;이집트사막;;;;;;;;;;;;;
PROV1895;달로아;;;;;;;;;;;;;
FRA_1775;트랍알베이단;;;;;;;;;;;;;
PROV2721;헬골란트만;;;;;;;;;;;;;
RUS_959;볼린;;;;;;;;;;;;;
druze;드루즈파 이슬람교;;;;;;;;;;;;;
PROV911;마안;;;;;;;;;;;;;
PROV910;아즈라크;;;;;;;;;;;;;
PROV2582;코토르;;;;;;;;;;;;;
PROV1839;알풀라;;;;;;;;;;;;;
PROV1739;안누후드;;;;;;;;;;;;;
PROV1806;바유다;;;;;;;;;;;;;
PROV2046;므베야;;;;;;;;;;;;;
PROV1850;케렌;;;;;;;;;;;;;
AUS_733;프리울리;;;;;;;;;;;;;
PAP_741;에밀리아로마냐;;;;;;;;;;;;;
mining_district;광산 지역;;;;;;;;;;;;;
new_world_semidesert;관목지;;;;;;;;;;;;;
new_world_desert;사막;;;;;;;;;;;;;
new_world_boreal;침엽수림;;;;;;;;;;;;;
new_world_montane_tundra;산악동토;;;;;;;;;;;;;
new_world_arctic;동토;;;;;;;;;;;;;
new_world_mountain;산악초원;;;;;;;;;;;;;
new_world_jungle;밀림;;;;;;;;;;;;;
new_world_plains;초원;;;;;;;;;;;;;
new_world_small_island;섬;;;;;;;;;;;;;
arid_climate;사막 기후;;;;;;;;;;;;;
CANAL_6;영국해협;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE_837;아티카;;;;;;;;;;;;;
PROV2669;손드리오;;;;;;;;;;;;;
PROV8;벨루노;;;;;;;;;;;;;
PROV2351;마그달레나;;;;;;;;;;;;;
PROV10;페스카라;;;;;;;;;;;;;
PROV3318;사이마호;;;;;;;;;;;;;
PROV3317;페이옌네호;;;;;;;;;;;;;
PROV3316;오울루호;;;;;;;;;;;;;
PROV3315;세고제로호;;;;;;;;;;;;;
PROV3314;스토르시왼호;;;;;;;;;;;;;
PROV3313;실얀호;;;;;;;;;;;;;
PROV3312;옐마렌호;;;;;;;;;;;;;
PROV3311;네이호;;;;;;;;;;;;;
PROV3310;달라이누르호;;;;;;;;;;;;;
PROV3309;나마크호;;;;;;;;;;;;;
PROV3308;칼우스호;;;;;;;;;;;;;
PROV3307;키야가스호;;;;;;;;;;;;;
PROV3306;우브스호;;;;;;;;;;;;;
PROV3305;후브스굴호;;;;;;;;;;;;;
PROV3304;자이산호;;;;;;;;;;;;;
PROV3303;알라콜호;;;;;;;;;;;;;
PROV3302;한카호;;;;;;;;;;;;;
PROV3301;훙쩌호;;;;;;;;;;;;;
PROV3300;쓰링호;;;;;;;;;;;;;
PROV3299;셰르귀호;;;;;;;;;;;;;
PROV3298;엘오드나호;;;;;;;;;;;;;
PROV3297;멜리르호;;;;;;;;;;;;;
PROV3296;엘제리드로;;;;;;;;;;;;;
PROV3295;타이호;;;;;;;;;;;;;
PROV3294;므웨르호;;;;;;;;;;;;;
PROV3293;루크와호;;;;;;;;;;;;;
PROV3292;아가일호;;;;;;;;;;;;;
PROV3291;맥케이호;;;;;;;;;;;;;
PROV3290;에어호;;;;;;;;;;;;;
PROV3289;프롬호;;;;;;;;;;;;;
PROV3288;토렌스호;;;;;;;;;;;;;
PROV3287;게어드너호;;;;;;;;;;;;;
PROV3286;송클라호;;;;;;;;;;;;;
PROV3285;파그나노호;;;;;;;;;;;;;
PROV12;사도;;;;;;;;;;;;;
PROV1531;톰바라;;;;;;;;;;;;;
PROV2537;비라라;;;;;;;;;;;;;
PROV158;그랜드포티지;;;;;;;;;;;;;
PROV29;키질쿰;;;;;;;;;;;;;
PROV2595;누나부트;;;;;;;;;;;;;
PROV25;올드보포트;;;;;;;;;;;;;
PROV6;셀커크;;;;;;;;;;;;;
PROV35;포트피트;;;;;;;;;;;;;
PROV28;재스퍼;;;;;;;;;;;;;
PROV26;로키마운틴하우스;;;;;;;;;;;;;
PROV22;버킹엄하우스;;;;;;;;;;;;;
PROV24;포트체스터필드;;;;;;;;;;;;;
PROV34;포트칼튼;;;;;;;;;;;;;
PROV33;배틀퍼드;;;;;;;;;;;;;
PROV41;포트엘리스;;;;;;;;;;;;;
PROV2594;오스나브뤼크하우스;;;;;;;;;;;;;
PROV49;랫포티지;;;;;;;;;;;;;
PROV52;오릴리아;;;;;;;;;;;;;
PROV75;포트바스크;;;;;;;;;;;;;
PROV69;페티소트;;;;;;;;;;;;;
PROV683;발덴부르크;;;;;;;;;;;;;
PROV43;클라크스빌;;;;;;;;;;;;;
PROV134;포트파커;;;;;;;;;;;;;
PROV135;래노에스터카도;;;;;;;;;;;;;
PROV85;서노마;;;;;;;;;;;;;
urban;도시;;;;;;;;;;;;;
FRA_1901;우에;;;;;;;;;;;;;
ASH_1910;볼타;;;;;;;;;;;;;
PROV155;포트스넬링;;;;;;;;;;;;;
PROV156;포트렌빌;;;;;;;;;;;;;
PROV157;포트리플리;;;;;;;;;;;;;
PROV92;쿨리스펠;;;;;;;;;;;;;
PROV93;포트홀;;;;;;;;;;;;;
PROV123;포트로비두스;;;;;;;;;;;;;
PROV124;보르도스포스트;;;;;;;;;;;;;
PROV125;폰테넬스포스트;;;;;;;;;;;;;
PROV126;포트레이븐원스;;;;;;;;;;;;;
PROV127;포트만;;;;;;;;;;;;;
PROV113;갤러틴밸리;;;;;;;;;;;;;
PROV117;포트클라크;;;;;;;;;;;;;
PROV118;포트제임스;;;;;;;;;;;;;
PROV119;포트유니언;;;;;;;;;;;;;
PROV122;포트피어;;;;;;;;;;;;;
PROV121;포트시더;;;;;;;;;;;;;
PROV120;포트카이오와;;;;;;;;;;;;;
PROV114;포트오웬;;;;;;;;;;;;;
PROV115;포트벤튼;;;;;;;;;;;;;
PROV116;포트벤뷰런;;;;;;;;;;;;;
PROV131;포트와시타;;;;;;;;;;;;;
PROV130;포트깁슨;;;;;;;;;;;;;
PROV111;포트본빌;;;;;;;;;;;;;
PROV112;포트라라미;;;;;;;;;;;;;
PROV106;포트벤트;;;;;;;;;;;;;
