##### GCF #####;	
;;;;;;;;;;;;x;
GCF_absolute_monarchy;독일 연방;;;;;;;;;;;;x;
GCF_prussian_constitutionalism;독일 연방;;;;;;;;;;;;x;
GCF_hms_government;독일 연방;;;;;;;;;;;;x;
GCF_democracy;독일 연방;;;;;;;;;;;;x;
GCF_proletarian_dictatorship;독일 소비에트 연방;;;;;;;;;;;;x;
GCF_presidential_dictatorship;독일 연방공화국;;;;;;;;;;;;x;
GCF_bourgeois_dictatorship;독일 자유연방;;;;;;;;;;;;x;
GCF_fascist_dictatorship;독일 연방국;;;;;;;;;;;;x;
GCF_colonial_company;독일;;;;;;;;;;;;x;
GCF_dominion;독일;;;;;;;;;;;;x;
GCF_ADJ;독일령;;;;;;;;;;;;x;
GCF_proletarian_dictatorship_ADJ;독일령;;;;;;;;;;;;x;
##### ATC #####;	
;;;;;;;;;;;;x;
ATC_absolute_monarchy;앤틸리스 연합왕국;;;;;;;;;;;;x;
ATC_prussian_constitutionalism;앤틸리스 연합왕국;;;;;;;;;;;;x;
ATC_hms_government;앤틸리스 연합왕국;;;;;;;;;;;;x;
ATC_democracy;앤틸리스;;;;;;;;;;;;x;
ATC_proletarian_dictatorship;앤틸리스 연합;;;;;;;;;;;;x;
ATC_presidential_dictatorship;앤틸리스 공화국;;;;;;;;;;;;x;
ATC_bourgeois_dictatorship;앤틸리스 연맹;;;;;;;;;;;;x;
ATC_fascist_dictatorship;앤틸리스 국민전선;;;;;;;;;;;;x;
ATC_colonial_company;앤틸리스;;;;;;;;;;;;x;
ATC_dominion;앤틸리스;;;;;;;;;;;;x;
ATC_ADJ;앤틸리스령;;;;;;;;;;;;x;
##### MNP #####;	
;;;;;;;;;;;;x;
MNP_absolute_monarchy;마니푸르 왕국;;;;;;;;;;;;x;
MNP_prussian_constitutionalism;마니푸르 왕국;;;;;;;;;;;;x;
MNP_hms_government;마니푸르 왕국;;;;;;;;;;;;x;
MNP_democracy;마니푸르;;;;;;;;;;;;x;
MNP_proletarian_dictatorship;마니푸르 소비에트;;;;;;;;;;;;x;
MNP_presidential_dictatorship;마니푸르 공화국;;;;;;;;;;;;x;
MNP_bourgeois_dictatorship;마니푸르 공화국;;;;;;;;;;;;x;
MNP_fascist_dictatorship;마니푸르 왕국;;;;;;;;;;;;x;
MNP_colonial_company;마니푸르국;;;;;;;;;;;;x;
