Key;English;;;;;;;;;;;;;
jizya;지즈야;;;;;;;;;;;;;
jizya_desc;지즈야는 무슬림이 의무적으로 부담해야 하는 세금과 종교적 의무를 대신해 국가의 공공지출 자금 충당을 위해 비무슬림 신민(딤미)에게 부과되는 인두세입니다. 지즈야에 대한 답례로 딤미는 법의 보호를 받습니다.;;;;;;;;;;;;;
umar_pact;우마르 협정;;;;;;;;;;;;;
orthodox;정교회;;;;;;;;;;;;;
coptic;오리엔트정교회;;;;;;;;;;;;;
exclusive_acquire_all_cores_CB;전체 영유권 보유 지역 수복 전쟁명분;;;;;;;;;;;;;
exclusive_humiliate_CB;모욕 전쟁명분;;;;;;;;;;;;;
exclusive_liberate_country_CB;국가 해방 전쟁명분;;;;;;;;;;;;;
exclusive_make_puppet_CB;괴뢰화 전쟁명분;;;;;;;;;;;;;
core_when_done;영유권 추가;;;;;;;;;;;;;
legation_quarter_desc;공사관은 수도에 위치한 많은 외국 공사관이 주재하는 지역입니다. 공사관은 약간의 불안을 야기하지만, 국내 연구 진전에 대한 기여는 매우 귀중합니다.;;;;;;;;;;;;;
western_presence_research;서양인의 존재;;;;;;;;;;;;;
western_presence_research_desc;난파당한 서양인들이 평화로운 공동체에서 문제를 일으킬 수도 있지만, 그들에게서 많은 것을 배울 수도 있습니다.;;;;;;;;;;;;;
european_military_mission_desc;유럽인들이 군사고문단을 파견함으로써 귀중한 군사전문지식을 제공하였습니다.;;;;;;;;;;;;;
central_bank_instituted;중앙은행 설립;;;;;;;;;;;;;
failed_unification_remove_from_sphere;영향권 이탈;;;;;;;;;;;;;
debt_system_cooldown;지불 완료;;;;;;;;;;;;;
debt_system_cooldown_desc;지불을 완료했습니다.;;;;;;;;;;;;;
local_conveyors_and_excavators;컨베이어 벨트와 착암기;;;;;;;;;;;;;
ryotwari;아이어트와리제도;;;;;;;;;;;;;
partisan_occupation;유격대의 지배;;;;;;;;;;;;;
ryotwari_desc;라이어트와리제도는 영국의 토머스 먼로 경이 1820년 바라마할에서 알렉산더 리드 대위가 관리한 제도를 바탕으로 도입한 토지수익제도입니다. 이 제도는 정부가 수입 추징을 위해 소작농과 직접 거래할 수 있도록 했고, 소작농에게 경작지를 포기하거나 취득할 수 있는 자유를 주었습니다. 소작농은 경작하고 있던 땅만을 평가받았습니다.;;;;;;;;;;;;;
supported_balkans_berlin_congress;발칸 지원;;;;;;;;;;;;;
attending_berlin_congress;회의 참석;;;;;;;;;;;;;
supported_oe_berlin_congress;터키 지원;;;;;;;;;;;;;
coward_ai;비열한 통치자;;;;;;;;;;;;;
desc_coward_ai;통치자가 비열하며 갈등에 휘말릴 것 같지 않습니다.;;;;;;;;;;;;;
benefactor_ai;자애로운 통치자;;;;;;;;;;;;;
desc_benefactor_ai;통치자가 자비로우며 비호전적입니다.;;;;;;;;;;;;;
malevolent_ai;악의적인 통치자;;;;;;;;;;;;;
desc_malevolent_ai;통치자가 악의적이며 호전적입니다.;;;;;;;;;;;;;
picking_personality;지도자 성격;;;;;;;;;;;;;
desc_picking_personality;통치자의 성격을 선택했습니다.;;;;;;;;;;;;;
government_busy_with_something;바쁜 정부;;;;;;;;;;;;;
internment_camps_open;수용소;;;;;;;;;;;;;
evidence_of_massacre2;대량학살의 증거 누설;;;;;;;;;;;;;
evidence_of_massacre2_desc;국내에서 대량학살이 일어났다는 사실을 증명하는 증거가 우리나라의 명성에 먹칠을 하고 있습니다.;;;;;;;;;;;;;
evidence_of_massacre;대학살의 증거;;;;;;;;;;;;;
evidence_of_massacre_desc;국내에서 대량학살이 일어났다는 사실을 증명하는 증거가 우리나라의 명성에 먹칠을 하고 있습니다.;;;;;;;;;;;;;
local_tractors;견인차와 저인망 어선;;;;;;;;;;;;;
desc_local_tractors;농어업 기계화가 견인차와 저인망 어선의 형태로 이 지역에 정착해 효율을 높이고 노동강도를 줄였습니다.;;;;;;;;;;;;;
interment_camps;지침 1호;;;;;;;;;;;;;
interment_camps_desc;지침 1호는 현재 국내의 반대를 잠재우기 위해 실시하고 있는 일련의 조치들에 부여한 명칭입니다.;;;;;;;;;;;;;
war_propaganda;전쟁 선전;;;;;;;;;;;;;
