Key;English;;;;;;;;;;;;;
BPM_TOOL_BORDER_1;얇은 빗금무늬 테두리;;;;;;;;;;;;;
BPM_TOOL_BORDER_2;중간 빗금무늬 테두리;;;;;;;;;;;;;
BPM_TOOL_BORDER_3;두꺼운 빗금무늬 테두리;;;;;;;;;;;;;
BPM_TOOL_BORDER_4;중간 테두리;;;;;;;;;;;;;
BPM_TOOL_BORDER_5;두꺼운 테두리;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_SAR;사르데냐 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_ASY;아시리아 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_WHITE_AUS;오스트리아 하얀색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREY_CSA;미연합국 회색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLACK_GER;독일 검정색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREY_BUL;불가리아 회색;;;;;;;;;;;;;
BP_TOOL_COLOR_PURPLE_KUR;시칠리아 자주색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_USA;미합중국 파랑색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_LPL;발트 파랑색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_BRZ;브라질 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_MEX;멕시코 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_RED_JAP;일본 빨간색;;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_KUK;오스트리아-헝가리 갈색;;;;;;;;;;;;;
BP_TOOL_COLOR_ORANGE_HOL;네덜란드 주황색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_TEX;텍사스 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_PRU;프로이센 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_RUS;러시아 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_ITA;이탈리아 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_RED_DNB;도나우 빨간색;;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_HUN;헝가리 갈색;;;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW_ROM;루마니아 노란색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_VEN;베네치아 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_SCA;스칸디나비아 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_SYR;시리아 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_ARU;아라비아 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_PINK_POL;폴란드 분홍색;;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_PBC;페루-볼리비아 갈색;;;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW_TKG;막부 노란색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_ISR;이스라엘 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_GRE;그리스 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_POR;포르투갈 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_TUR;터키 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_RED_ENG;영국 빨간색;;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_SAF;남아프리카 갈색;;;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW_PER;페르시아 노란색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_FRA;프랑스 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE_YUG;유고슬라비아 파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_CAN;캐나다 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN_IRE;아일랜드 녹색;;;;;;;;;;;;;
BP_TOOL_COLOR_RED_RUS;소비에트 빨간색;;;;;;;;;;;;;
BP_TOOL_COLOR_BROWN_GER;독일 갈색;;;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW_SPA;에스파냐 노란색;;;;;;;;;;;;;
