#;;;;;;;;;;;;;;;
WARSUBSIDIES_DI;전시보조금 제안;;;;;;;;;;;;;
CANCEL_WARSUBSIDIES_DI;전시보조금 취소;;;;;;;;;;;;;
ASKMILITARYACCESS_DI;군사통행권 요청;;;;;;;;;;;;;
CANCELASKMILITARYACCESS_DI;군사통행권 반환;;;;;;;;;;;;;
GIVEMILITARYACCESS_DI;군사통행권 제안;;;;;;;;;;;;;
CANCELGIVEMILITARYACCESS_DI;군사통행권 회수;;;;;;;;;;;;;
ALLIANCE_DI;동맹 제안;;;;;;;;;;;;;
CANCELALLIANCE_DI;동맹 파기;;;;;;;;;;;;;
CALLALLY_DI;참전 요청;;;;;;;;;;;;;
DISCREDIT_DI;발언력 실추;;;;;;;;;;;;;
EXPELADVISORS_DI;고문 추방;;;;;;;;;;;;;
BANEMBASSY_DI;대사 추방;;;;;;;;;;;;;
INCREASEOPINION_DI;발언력 확대;;;;;;;;;;;;;
DECREASEOPINION_DI;발언력 축소;;;;;;;;;;;;;
ADDTOSPHERE_DI;영향권 편입;;;;;;;;;;;;;
REMOVEFROMSPHERE_DI;영향권 이탈;;;;;;;;;;;;;
INCREASERELATION_DI;관계 개선;;;;;;;;;;;;;
DECREASERELATION_DI;관계 악화;;;;;;;;;;;;;
GUNBOAT_DI;포함 외교;;;;;;;;;;;;;
WAR_DI;선전포고;;;;;;;;;;;;;
WARGOAL_DI;전쟁목표 추가;;;;;;;;;;;;;
PEACE_DI;평화 제안;;;;;;;;;;;;;
TOPBAR_LEADERSHIP_MAX;이미 최대치([SUB_A7]Y$MAX$[SUB_A7]W)에 도달했으므로 이제 축적되지 않습니다.\n;;;;;;;;;;;;;
IS_MOBILIZED_IRO; (예비군 동원함);;;;;;;;;;;;;
ADD_CRIME; 범죄: + [SUB_A7]Y$NAME$[SUB_A7]W\n;;;;;;;;;;;;;
TOPBAR_WAR_PLUS;+ 해당국을 따라 참전한 종속국/자치령 목록\n;;;;;;;;;;;;;
CANTBUILD_FORCEDISARM;군비를 제한하는 평화조약을 맺었으므로 새로운 부대를 편제할 수 없습니다.;;;;;;;;;;;;;
SOME_LIFE_NEEDS;부분적인 생필품;;;;;;;;;;;;;
TOPBAR_AVG_CHANGE;다음달 예상 변동: $VAL$[SUB_A7]W;;;;;;;;;;;;;
TECH_DAILY_RESEARCHPOINTS_BASE_TOOLTIP;일일 기본 연구점: [SUB_A7]Y$VALUE$[SUB_A7]W;;;;;;;;;;;;;
TECH_DAILY_RESEARCHPOINTS_TOTAL_TOOLTIP;일일 연구점: [SUB_A7]G+$VALUE$[SUB_A7]W;;;;;;;;;;;;;
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;$POPTYPE$ 주민들이 연구점을 [SUB_A7]G$VALUE$[SUB_A7]W 제공합니다.\n (전체 인구의 [SUB_A7]Y$FRACTION$%[SUB_A7]W이며, $OPTIMAL$%가 최적임);;;;;;;;;;;;;
average_literacy;문해율;;;;;;;;;;;;;;
MODIFIER_RESEARCH_POINTS;연구점;;;;;;;;;;;;;
gas;독가스 공격;;;;;;;;;;;;;
COMBAT_GAS;독가스 공격은 독가스 방어기술이 부족한 상대에게 궤멸적인 타격을 줍니다.;;;;;;;;;;;;;
MAY_GAS_ATTACK;독가스 공격 가능\n;;;;;;;;;;;;;
MAY_GAS_DEFEND;독가스 방어 가능\n;;;;;;;;;;;;;
IMMIGRANTS_FROM;[SUB_A7]G$VAL$[SUB_A7]W명이 $NAME$에서 이민왔습니다.;;;;;;;;;;;;;
EMIGRANTS_TO;[SUB_A7]R$VAL$[SUB_A7]W명이 $NAME$(으)로 이민갔습니다.;;;;;;;;;;;;;
PW_ALL_FOCUSES_USED;국민중점을 모두 사용했습니다.;;;;;;;;;;;;;
HAS_NO_FACTORIES; 공장 < 1 \n;;;;;;;;;;;;;
HAS_FACTORIES; 공장 ≥ 1 \n;;;;;;;;;;;;;
RETREAT_DELAY_IRO;자발적인 퇴각을 하려면 [SUB_A7]Y$VAL$[SUB_A7]W일을 더 기다려야 합니다.;;;;;;;;;;;;;
PW_CANTCOLONIZE;식민화할 수 없습니다.;;;;;;;;;;;;;
IS_COLONIAL_STATE_POPVIEW;식민주;;;;;;;;;;;;;
CULTURE_IS_NOT; 문화 ≠;;;;;;;;;;;;;
CULTURE_IS; 문화 =;;;;;;;;;;;;;
INVALID_WARTARGET_TROOPS_IN_THEM;해당 국가의 국경 안에 우리 군대가 주둔하고 있습니다.;;;;;;;;;;;;;
WEX_EFFECTS;현재 효과;;;;;;;;;;;;;
