PROVINCEVIEW_RGOOWNER;채집장 소유자 비율: $TYPE$[SUB_A7]W $VALUE$%;;;;;;;;;;;;;
PROVINCEVIEW_ADMIN;주 행정 효율: [SUB_A7]Y$VALUE$%[SUB_A7]W;;;;;;;;;;;;;
PROVINCEVIEW_LIFERATING;지역 생활등급: $VALUE$;;;;;;;;;;;;;
PROVINCEVIEW_GOODSINCOME;어제 [SUB_A7]Y$GOODS$[SUB_A7]W을(를) [SUB_A7]Y$VALUE$[SUB_A7]W[SUB_A4] 에 판매했습니다.;;;;;;;;;;;;;
PROVINCEVIEW_EMPLOYMENT;채집장 노동자 수 [SUB_A7]Y$VALUE$[SUB_A7]W;;;;;;;;;;;;;
PROVINCEVIEW_CRIMEFIGHT;지역 범죄 검거율: [SUB_A7]Y$VALUE$%[SUB_A7]W;;;;;;;;;;;;;
PROVINCEVIEW_REVOLTRISK;지역 반란도: $VALUE$;;;;;;;;;;;;;
PROVINCEVIEW_TOTALPOP;지역 인구;;;;;;;;;;;;;
PROVINCEVIEW_MIGRATION;이달 지역 이민: $VALUE$;;;;;;;;;;;;;
PROVINCEVIEW_GROWTH;이달 지역 성장: $VALUE$;;;;;;;;;;;;;
PROVINCEVIEW_UNDERCONSTRUCTION;건설 중: $VALUE$;;;;;;;;;;;;;
PROVINCEVIEW_BUILD_ARMY;육군 편제;;;;;;;;;;;;;
PROVINCEVIEW_BUILD_NAVY;해군 편제;;;;;;;;;;;;;
PROVINCEVIEW_FROM_ADMIN_SPENDING;행정비: [SUB_A7]Y+;;;;;;;;;;;;;
REMOVE_PROVINCEVIEW_FROM_LOCAL_TAX;주 행정 효율: [SUB_A7]Y+;;;;;;;;;;;;;
PROVINCEVIEW_GOODSPRODUCTION;[SUB_A7]Y$GOODS$[SUB_A7]W을(를) [SUB_A7]Y$VALUE$[SUB_A7]W[SUB_A4] 의 가격으로 [SUB_A7]Y$NUM$[SUB_A7]W개 생산합니다.;;;;;;;;;;;;;
PROVINCEVIEW_BUILD_ARMY2;육군 편제;;;;;;;;;;;;;
PROVINCEVIEW_BUILD_NAVY2;해군 편제;;;;;;;;;;;;;
PROVINCEVIEW_EXPAND;확장;;;;;;;;;;;;;
PROVINCEVIEW_EXPANDING;확장 중...;;;;;;;;;;;;;
PROVINCEVIEW_CORES;영유권:;;;;;;;;;;;;;
NO_PROVINCE_CRIME;범죄 없음:;;;;;;;;;;;;;
PW_NATIONAL_FOCUS;국민중점: ;;;;;;;;;;;;;
PW_NO_NATIONAL_FOCUS;국민중점 비설정;;;;;;;;;;;;;
PW_COLONY;식민주;;;;;;;;;;;;;
PW_COLONY_STATE;클릭해 주로 승격합니다. 식민력이 [SUB_A7]Y$VALUE$[SUB_A7]W 필요합니다.;;;;;;;;;;;;;
PROVINCEVIEW_TERRAIN;지형: [SUB_A7]Y$TERRAIN$[SUB_A7]W;;;;;;;;;;;;;
PROVINCEVIEW_CURRENT_SHIPS;현재 전함: [SUB_A7]Y$CURRENT$[SUB_A7]W척;;;;;;;;;;;;;
PROVINCEVIEW_CURRENT_ARMY;현재 여단: [SUB_A7]Y$CURRENT$[SUB_A7]W개 여단\n최대 여단: [SUB_A7]Y$ALLOWED$[SUB_A7]W개 여단;;;;;;;;;;;;;
PV_UNCOLONIZED;미개척지;;;;;;;;;;;;;
PV_COLONY_PROG;식민화 진행률: [SUB_A7]Y$VAL$[SUB_A7]W%, 예상 완료 기간: [SUB_A7]Y$TIME$[SUB_A7]W;;;;;;;;;;;;;
PV_COLONY_TROOP;군대 주둔: [SUB_A7]G+$VAL$[SUB_A7]W%;;;;;;;;;;;;;
PV_REBEL_PRESENCE;파벌: ;;;;;;;;;;;;;
PV_LOCAL_MEMBERS;현지 회원: ;;;;;;;;;;;;;
PV_REVOLTRISK;반란도: ;;;;;;;;;;;;;
PV_AVG_MIL;평균 불만도: ;;;;;;;;;;;;;
PROVINCEVIEW_GROWTH_TECH;기술: $VALUE$;;;;;;;;;;;;;
PROVINCEVIEW_ADMIN_BASE;기본 행정 효율: [SUB_A7]Y$VALUE$%[SUB_A7]W;;;;;;;;;;;;;
PROVINCEVIEW_ADMIN_TECH;기술: [SUB_A7]Y$VALUE$%[SUB_A7]W;;;;;;;;;;;;;
PROVINCEVIEW_ADMIN_POPS;관료: [SUB_A7]Y$VALUE$%[SUB_A7]W;;;;;;;;;;;;;
PROVINCEVIEW_UNCOLONIZED;미개척지;;;;;;;;;;;;;
PROVINCEVIEW_SELECT_NATIONAL_FOCUS_TO_COLONIZE;국민중점을 선택해 식민화합니다.;;;;;;;;;;;;;
USA_1;알래스카;Alaska;Alaska;;;;;;;;;;;x
USA_78;워싱턴;Washington;Washington;;;;;;;;;;;x
USA_81;오리건;Oregon;Oregon;;;;;;;;;;;x
USA_91;아이다호;Idaho;Idaho;;;;;;;;;;;x
USA_106;콜로라도;Colorado;Colorado;;;;;;;;;;;x
USA_111;와이오밍;Wyoming;Wyoming;;;;;;;;;;;x
USA_116;몬태나;Montana;Montana;;;;;;;;;;;x
USA_118;노스다코타;Dakota du Nord;North Dakota;;;;;;;;;;;x
USA_121;사우스다코타;Dakota du Sud;South Dakota;;;;;;;;;;;x
USA_124;네브래스카;Nebraska;Nebraska;;;;;;;;;;;x
USA_126;캔자스;Kansas;Kansas;;;;;;;;;;;x
USA_129;오클라호마;Oklahoma;Oklahoma;;;;;;;;;;;x
USA_139;루이지애나;Louisiane;Louisiana;;;;;;;;;;;x
USA_144;아칸소;Arkansas;Arkansas;;;;;;;;;;;x
USA_148;미주리;Missouri;Missouri;;;;;;;;;;;x
USA_151;아이오와;Iowa;Iowa;;;;;;;;;;;x
USA_158;미네소타;Minnesota;Minnesota;;;;;;;;;;;x
USA_162;위스콘신;Wisconsin;Wisconsin;;;;;;;;;;;x
USA_168;일리노이;Illinois;Illinois;;;;;;;;;;;x
USA_170;인디애나;Indiana;Indiana;;;;;;;;;;;x
USA_176;미시건;Michigan;Michigan;;;;;;;;;;;x
USA_178;오하이오;Ohio;Ohio;;;;;;;;;;;x
USA_185;켄터키;Kentucky;Kentucky;;;;;;;;;;;x
USA_188;테네시;Tennessee;Tennessee;;;;;;;;;;;x
USA_194;미시시피;Mississippi;Mississippi;;;;;;;;;;;x
USA_196;앨라배마;Alabama;Alabama;;;;;;;;;;;x
USA_200;플로리다;Floride;Florida;;;;;;;;;;;x
USA_201;조지아;G?rgie;Georgien;;;;;;;;;;;x
USA_211;버지니아;Virginie;Virginia;;;;;;;;;;;x
REMOVE_USA_220;West Virginia;Virgine-Occidentale;West Virginia;;;;;;;;;;;x
USA_223;펜실베이니아;Pennsylvanie;Pennsylvania;;;;;;;;;;;x
USA_231;뉴저지;New Jersey;New Jersey;;;;;;;;;;;x
USA_232;뉴욕;New York;New York;;;;;;;;;;;x
USA_243;매사추세츠;Massachusetts;Massachusetts;;;;;;;;;;;x
USA_247;뉴잉글랜드;Nelle-Angleterre;New England;;;;;;;;;;;x
USA_2556;노스캐롤라이나;Caroline du Nord;North Carolina;;;;;;;;;;;x
ENG_6;유콘;Territoire du Yukon;Yukon Territory;;;;;;;;;;;x
ENG_9;노스웨스트;Territoires du N-O;Northwest Territories;;;;;;;;;;;x
ENG_13;브리티시컬럼비아;Colombie britannique;British Columbia;;;;;;;;;;;x
ENG_22;앨버타;Alberta;Alberta;;;;;;;;;;;x
ENG_30;서스캐처원;Saskatchewan;Saskatchewan;;;;;;;;;;;x
ENG_36;매니토바;Manitoba;Manitoba;;;;;;;;;;;x
ENG_44;누나부트;Nunavut;Nunavut Territory;;;;;;;;;;;x
ENG_46;온타리오;Ontario;Ontario;;;;;;;;;;;x
ENG_58;퀘벡;Qu??ois;Quebec;;;;;;;;;;;x
ENG_74;뉴펀들랜드;Terre-Neuve;Neufundland;;;;;;;;;;;x
TEX_132;텍사스;Texas;Texas;;;;;;;;;;;x
UCA_2186;과테말라;Guatemala;Guatemala;;;;;;;;;;;x
UCA_2191;온두라스;Honduras;Honduras;;;;;;;;;;;x
UCA_2197;니카라과;Nicaragua;Nicaragua;;;;;;;;;;;x
UCA_2201;코스타리카;Costa Rica;Costa Rica;;;;;;;;;;;x
CLM_1723;파나마;Panama;Panama;;;;;;;;;;;x
SPA_2209;대앤틸리스;Grandes Antilles;Gro? Antillen;;;;;;;;;;;x
URU_2344;우루과이;Uruguay;Uruguay;;;;;;;;;;;x
ECU_2279;에콰도르;Equateur;Ecuador;;;;;;;;;;;x
HAI_2213;이스파니올라;Hispaniola;Hispaniola;;;;;;;;;;;x
SWE_329;고틀란드;G?aland;G?aland;;;;;;;;;;;x
SWE_318;노를란드;Norrland;Norrland;;;;;;;;;;;x
SWE_322;스베알란드;Svealand;Svealand;;;;;;;;;;;x
SIC_763;시칠리아;Sicile;Sizilien;;;;;;;;;;;x
GRE_826;펠로폰네소스;P?oponn?e;Peloponnes;;;;;;;;;;;x
TUR_853;알바니아;Albanie;Albanien;;;;;;;;;;;x
TUR_788;보스니아;Bosnie;Bosnien;;;;;;;;;;;x
MOL_673;몰다비아;Moldavie;Moldau;;;;;;;;;;;x
WAL_665;왈라키아;Valachie;Walachei;;;;;;;;;;;x
SPA_474;갈리시아;Galice;Galizien;;;;;;;;;;;x
SPA_477;카스티야-레온;Le?-Castilla;Le?-Castilla;;;;;;;;;;;x
SPA_492;바스코냐-아라곤;Vasconia-Arag?;Vasconia-Arag?;;;;;;;;;;;x
SPA_498;카탈루냐;Catalogne;Katalonien;;;;;;;;;;;x
ENG_2468;뉴사우스웨일스;Nouvelles-Galles du Sud;New South Wales;;;;;;;;;;;x
ENG_2476;빅토리아;Victoria;Victoria;;;;;;;;;;;x
ENG_2483;퀸즐랜드;Queensland;Queensland;;;;;;;;;;;x
ENG_2491;사우스오스트레일리아;Australie du Sud;South Australia;;;;;;;;;;;x
ENG_2497;웨스턴오스트레일리아;Australie occidentale;Western Australia;;;;;;;;;;;x
ENG_2505;노던;Territoires du Nord;Northern Territory;;;;;;;;;;;x
ENG_2509;북섬;?e du Nord;North Island;;;;;;;;;;;x
ENG_2513;남섬;?e du Sud;South Island;;;;;;;;;;;x
NET_1413;자바;Java;Java;;;;;;;;;;;x
ENG_1321;스리랑카;Ceylan;Ceylon;;;;;;;;;;;x
CHI_2608;몽골;Tibet;Tibet;;;;;;;;;;;x
OMA_1166;오만;Oman;Oman;;;;;;;;;;;x
ABU_1162;아부다비;Abu Dhabi;Abu Dhabi;;;;;;;;;;;x
YEM_1173;예멘;Y?en;Yemen;;;;;;;;;;;x
HDJ_1151;히자즈;Hedjaz;Hedjaz;;;;;;;;;;;x
TUN_1726;튀니지;Tunisie;Tunesien;;;;;;;;;;;x
FRA_1879;기니;Guin?;Guinea;;;;;;;;;;;x
ENG_1887;라이베리아;Lib?ia;Liberia;;;;;;;;;;;x
FRA_1907;가나;Ghana;Ghana;;;;;;;;;;;x
FRA_1914;토고;Togo;Togo;;;;;;;;;;;x
FRA_1919;베냉;Benin;Benin;;;;;;;;;;;x
FRA_1972;가봉;Gabon;Gabun;;;;;;;;;;;x
ENG_2074;보츠와나;Botswana;Botswana;;;;;;;;;;;x
ENG_2014;잠비아;Zambie;Zambia;;;;;;;;;;;x
SIA_1366;캄보디아;Cambodge;Kambodscha;;;;;;;;;;;x
AUS_613;케른텐-슈타인마르크;K?nten-Steiermark;K?nten-Steiermark;;;;;;;;;;;x
AUS_612;티롤;Tyrol;Tirol;;;;;;;;;;;x
AUS_702;서부 갈리치아;Galice occidentale;Westgalizien;;;;;;;;;;;x
AUS_662;동부 갈리치아;Galice orientale;Ostgalizien;;;;;;;;;;;x
AUS_633;슬로바키아;Slovaquie;Slovakei;;;;;;;;;;;x
AUS_777;슬라보니아;Slavonie;Slawonien;;;;;;;;;;;x
AUS_780;달마티아;Dalmatie;Dalmatien;;;;;;;;;;;x
AUS_771;크로아티아;Croatie;Kroatien;;;;;;;;;;;x
AUS_726;롬바르디아;Lombardie;Lombardei;;;;;;;;;;;x
AUS_736;이스트리아;Istrie;Istrien;;;;;;;;;;;x
AUS_729;베네치아;V??ie;Venedig;;;;;;;;;;;x
AUS_625;보헤미아;Boh?e;B?men;;;;;;;;;;;x
AUS_626;모라비아;Moravie;M?ren;;;;;;;;;;;x
AUS_654;서부 트란실바니아;Transylvanie occidentale;Westsiebenb?gen;;;;;;;;;;;x
AUS_657;동부 트란실바니아;Transylvanie orientale;Ostsiebenb?gen;;;;;;;;;;;x
AUS_647;알펠드;Alf?d;Alf?d;;;;;;;;;;;x
AUS_623;두난툴;Transdanubie;Transdanubien;;;;;;;;;;;x
AUS_619;외스터라이히;Autriche;?terreich;;;;;;;;;;;x
AUS_641;중부 헝가리;Hongrie centrale;Zentralungarn;;;;;;;;;;;x
MEX_85;캘리포니아;Californie;Kalifornien;;;;;;;;;;;x
MEX_100;애리조나;Arizona;Arizona;;;;;;;;;;;x
MEX_103;뉴멕시코;Nouveau-Mexique;New Mexico;;;;;;;;;;;x
MEX_94;네바다-유타;Nevada-Utah;Nevada-Utah;;;;;;;;;;;x
ENG_260;먼스터;M?ster;Munster;;;;;;;;;;;x
ENG_263;렌스터-코너트;Leinster-Connacht;Leinster-Connacht;;;;;;;;;;;x
ENG_254;얼스터;Ulster;Ulster;;;;;;;;;;;x
ENG_273;웨일스;Pays de Galles;Wales;;;;;;;;;;;x
ENG_277;노스웨스트잉글랜드;Angleterre du Nord-Ouest;Nordwestengland;;;;;;;;;;;x
ENG_280;노스이스트잉글랜드;Angleterre du Nord-Est;Nordostengland;;;;;;;;;;;x
ENG_284;미들랜즈;Midlands;Midlands;;;;;;;;;;;x
ENG_291;이스턴카운티즈;Pays de l'Est;Eastern Counties;;;;;;;;;;;x
ENG_300;사우스이스트잉글랜드;Angleterre du Sud-Est;S?ostengland;;;;;;;;;;;x
ENG_296;사우스웨스트잉글랜드;Angleterre du Sud-Ouest;S?westengland;;;;;;;;;;;x
ENG_1252;북부 벵골;Bengal du Nord;Nordbengalen;;;;;;;;;;;x
ENG_1251;남부 벵골;Bengal du Sud;S?bengalen;;;;;;;;;;;x
ENG_1258;아삼;Assam;Assam;;;;;;;;;;;x
FRA_77;생피에르미클롱;Saint-Pierre-et-Miquelon ;Saint Pierre und Miquelon;;;;;;;;;;;x
SPA_513;그라나다;Grenade;Granada;;;;;;;;;;;x
SPA_512;안달루시아;Andalousie;Andalusien;;;;;;;;;;;x
SPA_484;에스트레마두라;Estr?adure;Extremadura;;;;;;;;;;;x
SPA_503;발렌시아;Valence;Valencia;;;;;;;;;;;x
SPA_487;카스티야라누에바;Nouvelle-Castille;Castilla la Nueva;;;;;;;;;;;x
GRE_837;아티카;Attica;Attica;;;;;;;;;;;x
TUR_832;테살리아;Thessal?;Thessal?;;;;;;;;;;;x
TUR_803;남부 세르비아;Serbie du Sud;S?serbien;;;;;;;;;;;x
SER_794;북부 세르비아;Serbie du Nord;Nordserbien;;;;;;;;;;;x
REMOVE_TUR_806;West Macedonia;Mac?oine de l'Ouest;Westmazedonien;;;;;;;;;;;x
TUR_805;동부 마케도니아;Mac?oine de l'Est;Ostmazedonien;;;;;;;;;;;x
TUR_860;트라키아;Thrace;Thrakien;;;;;;;;;;;x
EGY_843;에게제도;?es de la mer Eg?;g?sche Inseln;;;;;;;;;;;x
TUR_855;키프로스;Chypre;Zypern;;;;;;;;;;;x
TUR_809;루멜리아;Roum?ie;Rumelien;;;;;;;;;;;x
TUR_810;불가리아;Bulgarie;Bulgarien;;;;;;;;;;;x
TUR_674;도브루자;Dobrudja;Dobrudja;;;;;;;;;;;x
MON_2582;몬테네그로;Mont??ro;Montenegro;;;;;;;;;;;x
FRA_458;아키텐;Aquitaine;Aquitaine;;;;;;;;;;;x
FRA_442;푸아투;Poitou;Poitou;;;;;;;;;;;x
FRA_455;르미디;Midi;Le Midi;;;;;;;;;;;x
FRA_461;랑그도크;Languedoc;Languedoc;;;;;;;;;;;x
FRA_467;프로방스;Provence;Provence;;;;;;;;;;;x
FRA_445;리무젱;Limousin;Limousin;;;;;;;;;;;x
FRA_448;오베르뉴;Auvergne;Auvergne;;;;;;;;;;;x
FRA_451;론;Rh?e;Rhone;;;;;;;;;;;x
FRA_420;브르타뉴;Bretagne;Bretagne;;;;;;;;;;;x
FRA_435;루아르;Loire;Loire;;;;;;;;;;;x
FRA_438;상트르;R?ion Centre;Region Centre;;;;;;;;;;;x
FRA_428;부르고뉴;Bourgogne;Bourgogne;;;;;;;;;;;x
FRA_418;노르망디;Normandie;Normandie;;;;;;;;;;;x
FRA_425;일드프랑스;Ile-de-France;Ile de France;;;;;;;;;;;x
FRA_404;상파뉴;Champagne;Champagne;;;;;;;;;;;x
FRA_412;알자스-로렌;Alsace-Lorraine;Alsace-Lorraine;;;;;;;;;;;x
FRA_399;피카르디;Picardie;Picardie;;;;;;;;;;;x
POR_518;도우루;Douro;Douro;;;;;;;;;;;x
POR_521;이스트레마두라;Estr?adure;Estremadura;;;;;;;;;;;x
POR_525;알렌테주;Alentejo;Alentejo;;;;;;;;;;;x
POR_2134;마카로네지아;Macaron?ie;Macaronesien;;;;;;;;;;;x
