LEDGER_COUNTRY_NAME;국가;;;;;;;;;;;;;
LEDGER_COUNTRY_MILSCORE;군사력;;;;;;;;;;;;;
LEDGER_COUNTRY_INDSCORE;산업력;;;;;;;;;;;;;
LEDGER_COUNTRY_PRESTIGE;위신;;;;;;;;;;;;;
LEDGER_COUNTRY_TOTALSCORE;총점수;;;;;;;;;;;;;
LEDGER_HEADER_PROVINCES;지역;;;;;;;;;;;;;
LEDGER_PROVINCE_NAME;지역;;;;;;;;;;;;;
LEDGER_PROVINCE_TOTALPOP;총인구;;;;;;;;;;;;;
LEDGER_PROVINCE_AVGMIL;평균 불만도;;;;;;;;;;;;;
LEDGER_PROVINCE_AVGCON;평균 의식도;;;;;;;;;;;;;
LEDGER_PROVINCE_AVGLIT;평균 문해율;;;;;;;;;;;;;
LEDGER_PROVINCE_RELIGION;종교;;;;;;;;;;;;;
LEDGER_PROVINCE_CULTURE;문화;;;;;;;;;;;;;
LEDGER_PROVINCE_ISSUE;쟁점;;;;;;;;;;;;;
LEDGER_PROVINCE_IDEOLOGY;이념;;;;;;;;;;;;;
LEDGER_HEADER_PROVINCE_POPS;지역 인구;;;;;;;;;;;;;
LEDGER_HEADER_ARMY;육군;;;;;;;;;;;;;
LEDGER_ARMY_NAME;육군;;;;;;;;;;;;;
LEDGER_ARMY_INFANTRY;보병;;;;;;;;;;;;;
LEDGER_ARMY_CAVALRY;기병;;;;;;;;;;;;;
LEDGER_ARMY_ARTILLERY;포병 및 기타;;;;;;;;;;;;;
LEDGER_HEADER_GOODS_PRICEHISTORY;가격 흐름;;;;;;;;;;;;;
LEDGER_COUNTRY_STATUS;지위;;;;;;;;;;;;;
LEDGER_HEADER_COUNTRYCOMPARE;국가간 통계;;;;;;;;;;;;;
LEDGER_COUNTRY_TOTAL_POP;총인구;;;;;;;;;;;;;
LEDGER_COUNTRY_PROVCOUNT;지역;;;;;;;;;;;;;
LEDGER_COUNTRY_FACTORYCOUNT;공장;;;;;;;;;;;;;
LEDGER_COUNTRY_LITERACY;문해율;;;;;;;;;;;;;
LEDGER_COUNTRY_LEADERSHIP;지휘력;;;;;;;;;;;;;
LEDGER_COUNTRY_DIVISIONS;여단;;;;;;;;;;;;;
LEDGER_COUNTRY_SHIPS;전함;;;;;;;;;;;;;
LEDGER_HEADER_COUNTRYPARTY;정치체제;;;;;;;;;;;;;
LEDGER_COUNTRY_GOVERNMENT;통치체제;;;;;;;;;;;;;
LEDGER_COUNTRY_NATIONALVALUE;국민정신;;;;;;;;;;;;;
LEDGER_COUNTRY_RULINGPARTY;여당;;;;;;;;;;;;;
LEDGER_COUNTRY_RULINGIDEOLOGY;여당 이념;;;;;;;;;;;;;
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;정치개혁;;;;;;;;;;;;;
LEDGER_HEADER_COUNTRYSOCIALREFORMS;사회개혁;;;;;;;;;;;;;
LEDGER_HEADER_COUNTRY_POPS;국가별 인구;;;;;;;;;;;;;
LEDGER_HEADER_PROVINCEPRODUCTION;지역 생산;;;;;;;;;;;;;
LEDGER_STATE_NAME;주;;;;;;;;;;;;;
LEDGER_GOODS;상품;;;;;;;;;;;;;
LEDGER_OUTPUT;생산량;;;;;;;;;;;;;
LEDGER_INCOME;수입;;;;;;;;;;;;;
LEDGER_EMPLOYED;노동자;;;;;;;;;;;;;
LEDGER_LEVEL;단계;;;;;;;;;;;;;
LEDGER_HEADER_FACTORYPRODUCTION;공장 생산;;;;;;;;;;;;;
BUDGET;예산;;;;;;;;;;;;;
BUDGET_TAX_POOR;하류층 세금;;;;;;;;;;;;;
BUDGET_TAX_POOR_DESC;하류층의 소득 중에서 어느정도를 세금으로 징수할지를 조정합니다. 세금이 너무 높으면 생활자금이 부족해집니다.;;;;;;;;;;;;;
BUDGET_TAX_MIDDLE;중류층 세금;;;;;;;;;;;;;
BUDGET_TAX_MIDDLE_DESC;중류층의 수입 중에서 어느정도를 세금으로 징수할지를 조정합니다. 세금이 너무 높으면 생활자금과 사업자금이 부족해집니다.;;;;;;;;;;;;;
BUDGET_TAX_RICH;상류층 세금;;;;;;;;;;;;;
BUDGET_TAX_RICH_DESC;상류층의 수입 중에서 어느정도를 세금으로 징수할지를 조정합니다. 세금이 너무 높으면 건설계획에 자금이 부족해집니다.;;;;;;;;;;;;;
BUDGET_TOTAL_FUNDS;총자금;;;;;;;;;;;;;
BUDGET_TOTAL_DEBT;총부채;;;;;;;;;;;;;
BUDGET_TAKE_LOAN;차관 도입;;;;;;;;;;;;;
BUDGET_REPAY_LOAN;차관 상환;;;;;;;;;;;;;
BUDGET_DAILY_INCOME;일일 수입;;;;;;;;;;;;;
BUDGET_DAILY_EXPENSES;일일 지출;;;;;;;;;;;;;
BUDGET_MILITARY_COST;군비;;;;;;;;;;;;;
BUDGET_NATIONAL_STOCKPILE;국가비축품;;;;;;;;;;;;;
BUDGET_INDUSTRIAL_SUBSIDIES;산업보조금;;;;;;;;;;;;;
BUDGET_TARIFFS;관세;;;;;;;;;;;;;
BUDGET_DAILY_BALANCE;일일 예상 잔고;;;;;;;;;;;;;
BUDGET_GOLD_DESC;;;;;;;;;;;;;
BUDGET_MIL_COST_DESC;;;;;;;;;;;;;
BUDGET_NAT_STOCK_DESC;;;;;;;;;;;;;
BUDGET_IND_SUP_DESC;;;;;;;;;;;;;
BUDGET_EDUCATION_DESC;;;;;;;;;;;;;
BUDGET_ADMIN_DESC;;;;;;;;;;;;;
BUDGET_SOCIAL_SPEND_DESC;;;;;;;;;;;;;
BUDGET_MIL_SPEND_DESC;;;;;;;;;;;;;
BUDGET_TARIFF_DESC;;;;;;;;;;;;;
BUDGET_TOTAL_FUNDS_DESC;;;;;;;;;;;;;
BUDGET_BALANCE_DESC;;;;;;;;;;;;;
BUDGET_DEBT_DESC;;;;;;;;;;;;;
BUDGET_NATIONAL_BANK_DESC;;;;;;;;;;;;;
