ABU_conservative;셰흐평의회;;;;;;;;;;;;;
ABU_conservative_2;휴전오만 셰흐;;;;;;;;;;;;;
ABU_liberal;자유주의 파벌;;;;;;;;;;;;;
ABU_reactionary;민족주의 파벌;;;;;;;;;;;;;
ABU_anarcho_liberal;급진주의 파벌;;;;;;;;;;;;;
ABU_socialist;사회주의 파벌;;;;;;;;;;;;;
ABU_communist;공산주의 파벌;;;;;;;;;;;;;
ABU_fascist;파쇼주의 파벌;;;;;;;;;;;;;
YEM_conservative;셰흐 파벌;;;;;;;;;;;;;
YEM_liberal;자유주의 파벌;;;;;;;;;;;;;
YEM_reactionary;민족주의 파벌;;;;;;;;;;;;;
YEM_anarcho_liberal;급진주의 파벌;;;;;;;;;;;;;
YEM_socialist;사회주의 파벌;;;;;;;;;;;;;
YEM_communist;공산주의 파벌;;;;;;;;;;;;;
YEM_fascist;파쇼주의 파벌;;;;;;;;;;;;;
AFG_conservative;아미르 파벌;;;;;;;;;;;;;
AFG_liberal;파샤 파벌;;;;;;;;;;;;;
AFG_liberal_2;자유주의 파벌;;;;;;;;;;;;;
AFG_reactionary;민족주의 파벌;;;;;;;;;;;;;
AFG_anarcho_liberal;급진주의 파벌;;;;;;;;;;;;;
AFG_socialist;사회주의 파벌;;;;;;;;;;;;;
AFG_communist;공산주의 파벌;;;;;;;;;;;;;
AFG_fascist;파쇼주의 파벌;;;;;;;;;;;;;
ALB_conservative;파샤 파벌;;;;;;;;;;;;;
ALB_reactionary;프리즈렌 연맹;Ligue de Pirzen;Liga von Prizren;;;;;;;;;;;;;
ALB_liberal;국민의회;;;;;;;;;;;;;
ALB_conservative_2;왕당파;;;;;;;;;;;;;
ALB_liberal_2;자유주의 파벌;;;;;;;;;;;;;
ALB_reactionary_2;민족주의 파벌;;;;;;;;;;;;;
ALB_anarcho_liberal;급진주의 파벌;;;;;;;;;;;;;
ALB_socialist;사회주의 파벌;;;;;;;;;;;;;
ALB_communist;공산주의 파벌;;;;;;;;;;;;;
ALB_fascist;파쇼주의 파벌;;;;;;;;;;;;;
ALD_conservative;베이 파벌;;;;;;;;;;;;;
ALD_reactionary;아미르 파벌;;;;;;;;;;;;;
ALD_liberal;도의회;;;;;;;;;;;;;
ALD_liberal_2;청년알제리당;;;;;;;;;;;;;
ALD_liberal_3;자유당;;;;;;;;;;;;;
ALD_reactionary_2;민족주의 파벌;Faction nationaliste;;;;;;;;;;;;;
ALD_anarcho_liberal;급진주의 파벌;Faction radicale;;;;;;;;;;;;;
ALD_socialist;사회주의 파벌;Faction socialiste;;;;;;;;;;;;;
ALD_communist;공산주의 파벌;Faction communiste;;;;;;;;;;;;;
ALD_fascist;파쇼주의 파벌;Faction fasciste;;;;;;;;;;;;;
ANH_liberal;자유민주당;Liberaldem. Partei;Liberaldem. Partei;;;;;;;;;;;x
ANH_conservative;중앙당;Zentrumspartei;Zentrumspartei;;;;;;;;;;;x
ANH_liberal_2;국민자유당;National;National;;;;;;;;;;;x
ANH_liberal_3;자유사상가당;Freisinnige Partei;Freisinnige Partei;;;;;;;;;;;x
ANH_socialist;독일노동자총연맹;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;;;;;;;;;;x
ANH_socialist_2;사회민주노동당;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;;;;;;;;;;;x
ANH_socialist_3;사회노동당;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;;;;;;;;;;;x
ANH_reactionary;국민당;Nationale Partei;Nationale Partei;;;;;;;;;;;x
ANH_conservative_2;보수당;Konservative Partei;Konservative Partei;;;;;;;;;;;x
ANH_conservative_3;기독노동당;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;;;;;;;;;;;x
ANH_anarcho_liberal;급진노동당;Arbeiterpartie radical;Radikale Arbeiterpartei;;;;;;;;;;;x
ANH_communist;공산노동당;Arbeiterpartie communiste;Kommunistische Arbeiterpartei;;;;;;;;;;;x
ANH_fascist;국가사회주의 독일 노동자당;NSDP;NSDP;;;;;;;;;;;x
ANN_conservative;응우옌파;Nguy? danh t畢;Nguy? danh t畢;;;;;;;;;;;x
ANN_liberal;근왕주의 파벌;C? Vuong;C? Vuong;;;;;;;;;;;x
ANN_liberal_2;유신회;;;;;;;;;;;;;
ANN_anarcho_liberal;베트남 광복회;;;;;;;;;;;;;
ANN_liberal_3;자유당;;;;;;;;;;;;;
ANN_liberal_4;자유당;;;;;;;;;;;;;
ANN_reactionary;국민당;;;;;;;;;;;;;
ANN_anarcho_liberal_2;급진당;;;;;;;;;;;;;
ANN_socialist;사회당;;;;;;;;;;;;;
ANN_communist;공산당;;;;;;;;;;;;;
ANN_fascist;파쇼당;;;;;;;;;;;;;
ARG_liberal;자유당;;;;;;;;;;;;;
ARG_liberal_2;연합당;;;;;;;;;;;;;
ARG_conservative;연방당;;;;;;;;;;;;;
ARG_conservative_2;국민당;;;;;;;;;;;;;
ARG_conservative_3;국민자치당;;;;;;;;;;;;;
ARG_conservative_4;자치당;;;;;;;;;;;;;
ARG_liberal_3;시민연맹;;;;;;;;;;;;;
ARG_socialist;사회당;;;;;;;;;;;;;
ARG_conservative_5;국민연맹;;;;;;;;;;;;;
ARG_liberal_4;급진시민연맹;;;;;;;;;;;;;
ARG_reactionary;반동당;;;;;;;;;;;;;
ARG_anarcho_liberal;급진당;;;;;;;;;;;;;
ARG_communist;공산당;;;;;;;;;;;;;
ARG_fascist;파쇼당;;;;;;;;;;;;;
ARM_conservative;베이파;;;;;;;;;;;;;
ARM_conservative_2;아르메니아 민주자유당;;;;;;;;;;;;;
ARM_liberal;자유당;Toughte Sherepa;Toughte Sherepa;;;;;;;;;;;;;
ARM_socialist;사회민주계몽당;;;;;;;;;;;;;
ARM_socialist_2;아르메니아 혁명연맹;;;;;;;;;;;;;
ARM_liberal_2;자유주의 파벌;;;;;;;;;;;;;
ARM_liberal_3;자유주의 파벌;;;;;;;;;;;;;
ARM_reactionary;민족주의 파벌;;;;;;;;;;;;;
ARM_anarcho_liberal;급진주의 파벌;;;;;;;;;;;;;
ARM_communist;공산주의 파벌;;;;;;;;;;;;;
ARM_fascist;파쇼주의 파벌;;;;;;;;;;;;;
AST_liberal;자유무역당;;;;;;;;;;;;;
AST_conservative;보호무역당;;;;;;;;;;;;;
AST_socialist;호주 노동당;;;;;;;;;;;;;
AST_liberal_2;자유당;;;;;;;;;;;;;
AST_conservative_2;국가당;;;;;;;;;;;;;
AST_communist;호주 공산당;;;;;;;;;;;;;
AST_reactionary;국민당;;;;;;;;;;;;;
AST_anarcho_liberal;급진당;;;;;;;;;;;;;
AST_fascist;파쇼당;;;;;;;;;;;;;
ATJ_conservative;근왕주의 파벌;;;;;;;;;;;;;
AUS_conservative;메테르니히 파벌;;;;;;;;;;;;;
AUS_conservative_2;콜로브라트 파벌;;;;;;;;;;;;;
AUS_reactionary;신전제주의자 파벌;;;;;;;;;;;;;
AUS_socialist;급진당;;;;;;;;;;;;;
AUS_liberal;연방당;;;;;;;;;;;;;
AUS_conservative_3;바흐 파벌;;;;;;;;;;;;;
AUS_conservative_4;철의 반지;;;;;;;;;;;;;
AUS_socialist_2;사회당;;;;;;;;;;;;;
AUS_reactionary_2;독일 급진당;;;;;;;;;;;;;
AUS_conservative_5;보수당;;;;;;;;;;;;;
AUS_liberal_2;대지주연방당;;;;;;;;;;;;;
AUS_communist;공산당;;;;;;;;;;;;;
AUS_socialist_3;사회민주당;;;;;;;;;;;;;
AUS_anarcho_liberal;급진당;;;;;;;;;;;;;
AUS_fascist;국가사회주의 독일 노동자당;;;;;;;;;;;;;
AWA_conservative;근왕주의 파벌;;;;;;;;;;;;;
AWA_liberal;자유주의 파벌;;;;;;;;;;;;;
AWA_reactionary;민족주의 파벌;;;;;;;;;;;;;
AWA_anarcho_liberal;급진주의 파벌;;;;;;;;;;;;;
AWA_socialist;사회주의 파벌;;;;;;;;;;;;;
AWA_communist;공산주의 파벌;;;;;;;;;;;;;
AWA_fascist;파쇼주의 파벌;;;;;;;;;;;;;
