Key;English;;;;;;;;;;;;;
steal_puppet;종속국 강탈;;;;;;;;;;;;;
steal_puppet_short;$THIRD$ 복속;;;;;;;;;;;;;
steal_puppet_desc;제3국의 [SUB_A7]Y종속국[SUB_A7]W을 복속합니다.;;;;;;;;;;;;;
steal_puppet_setup;$RECIPIENT$에 종속된 $THIRD$을 복속합니다.;;;;;;;;;;;;;
cut_down_to_size;응징;;;;;;;;;;;;;
place_in_the_sun; 곳;;;;;;;;;;;;;
acquire_state;주 인수;;;;;;;;;;;;;
take_from_sphere;영향권 강탈;;;;;;;;;;;;;
permanent_colonial_claim;식민지 재정복;;;;;;;;;;;;;;
permanent_colonial_claim_short;식민지 재정복;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
permanent_colonial_claim_desc;강대국 회담에 따라 정당한 식민지인 [SUB_A7]Y주[SUB_A7]W를 인수합니다.;;;;;;;;;;;;;
permanent_colonial_claim_setup;$RECIPIENT$이 점유한 $STATE$ 지방을 인수합니다.;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_PEU_CHL;$ORDER$태평양 전쟁;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_BOL_CHL;$ORDER$태평양 전쟁;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_CHL_PBC;$ORDER$연방 전쟁;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS_CHL_PBC;$ORDER$연방 전쟁;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS_FRA_MEX;$ORDER$프랑스의 멕시코 간섭;;;;;;;;;;;;;;
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;$ORDER$연방 전쟁;;;;;;;;;;;;;
NORMAL_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;$ORDER$연방 전쟁;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 전쟁;;;;;;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS;$ORDER$FIRST_COUNTRY$-$SECOND_COUNTRY$ 전쟁;;;;;;;;;;;;;;;;;;
war_reparations;전쟁배상금;;;;;;;;;;;;;
war_reparations_desc;[SUB_A7]Y적국[SUB_A7]W에게 [SUB_A7]Y배상금[SUB_A7]W을 상환받습니다.;;;;;;;;;;;;;
war_reparations_short;$RECIPIENT$에게 배상금 요구;;;;;;;;;;;;;
war_reparations_setup;$RECIPIENT$에게 [SUB_A7]Y배상금[SUB_A7]W을 상환받습니다.;;;;;;;;;;;;;
install_democracy_make_puppet;민주주의 괴뢰정부 수립;;;;;;;;;;;;;;;;;;;;
install_democracy_make_puppet_desc;적국의 수도에 [SUB_A7]Y민주주의[SUB_A7]W 괴뢰정부를 수립합니다.;;;;;;;;;;;;;
install_democracy_make_puppet_short;$RECIPIENT$ 민주주의 괴뢰정부 수립;;;;;;;;;;;;;;
install_democracy_make_puppet_setup;$RECIPIENT$에 민주주의 괴뢰정부를 수립합니다.;;;;;;;;;;;;;;;;;;;;;
install_communism_make_puppet;공산주의 괴뢰정부 수립;;;;;;;;;;;;;;;;;;;;
install_communism_make_puppet_desc;적국의 수도에 [SUB_A7]Y공산주의[SUB_A7]W 괴뢰정부를 수립합니다.;;;;;;;;;;;;;
install_communism_make_puppet_short;$RECIPIENT$ 공산주의 괴뢰정부 수립;;;;;;;;;;;;;;
install_communism_make_puppet_setup;$RECIPIENT$에 공산주의 괴뢰정부를 수립합니다.;;;;;;;;;;;;;;;;;;;;;
install_fascism_make_puppet;파쇼주의 괴뢰정부 수립;;;;;;;;;;;;;;;;;;;;
install_fascism_make_puppet_desc;적국의 수도에 [SUB_A7]Y파쇼주의[SUB_A7]W 괴뢰정부를 수립합니다.;;;;;;;;;;;;;
install_fascism_make_puppet_short;$RECIPIENT$ 파쇼주의 괴뢰정부 수립;;;;;;;;;;;;;;
install_fascism_make_puppet_setup;$RECIPIENT$에 파쇼주의 괴뢰정부를 수립합니다.;;;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_FRA_EGY;$ORDER$프랑스의 이집트 간섭;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_NET_EGY;$ORDER$네덜란드의 이집트 간섭;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_SPA_EGY;$ORDER$에스파냐의 이집트 간섭;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_AUS_EGY;$ORDER$오스트리아의 이집트 간섭;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_RUS_EGY;$ORDER$러시아의 이집트 간섭;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_PRU_EGY;$ORDER$프로이센의 이집트 간섭;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_NAME_ENG_EGY;$ORDER$영국의 이집트 간섭;;;;;;;;;;;;;
AGRESSION_WAR_NAME_TUR_ITA;$ORDER$이탈리아-튀르크 전쟁;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_QNG_PGG;$ORDER$운남회변;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_QNG_UYG;$ORDER$둥간반란;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_QNG_XBI;$ORDER$둥간반란;;;;;;;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_BHR_QAT;$ORDER$카타르-바레인 전쟁;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_BHR_QAT;$ORDER$카타르-바레인 전쟁;;;;;;;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_CIR;$ORDER$러시아-체르케스 전쟁;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_RUS_CIR;$ORDER$러시아-체르케스 전쟁;;;;;;;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_RUS_DAG;$ORDER$무리드 전쟁;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_RUS_DAG;$ORDER$무리드 전쟁;;;;;;;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_PNJ;$ORDER$영국-펀자브 전쟁;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_ENG_PNJ;$ORDER$영국-펀자브 전쟁;;;;;;;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_ARC_ENT;$ORDER$라플라타 전쟁;;;;;;;;;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_ARC_ENT;$ORDER$라플라타 전쟁;;;;;;;;;;;;;;;;;;;;;
NO_ALLOWED_STATES;(해당 주 없음);;;;;;;;;;;;;;;
po_reduce_prestige;위신이 [SUB_A7]R-$VALUE$[SUB_A7]W 감소합니다.;;;;;;;;;;;;;;;;;;;;;;;;;;
