#;;;;;;;;;;;;;
EVTNAME100;금주동맹;;;;;;;;;;;;;
EVTDESC100;이제 공공의 미덕을 보호하기 위해 빈민층을 교육하고 인도해서 인내라는 미덕을 이끌어내야 할 때입니다'\n\n국내의 술 소비량이 증가하고 있습니다. 손쉽게 구할 수 있는 저렴한 증류주들은 고된 노동에 시달리는 빈민층이 더욱 더 이 치명적인 독약에 의존하게 만들고 있습니다. 국내에서 금주동맹이 발족한 것도 어찌 보면 당연합니다.;;;;;;;;;;;;;
EVTOPTA100;조금 좀 했기로서니 뭐가 문제라고! 딸꾹!;;;;;;;;;;;;;
EVTOPTB100;훌륭한 일이다!;;;;;;;;;;;;;
EVTNAME110;선술집 개점;;;;;;;;;;;;;
EVTDESC110;오늘 새 선술집이 개점하면서 국민 100명당 한명이 술집, 사창가, 술집 등 유사한 종류의 범되와 악행의 온상을 완비하는 위업을 달성했습니다. 이로써 부랑자, 노름꾼, 주정뱅이의 천국으로서 국가적 위신에 한 차원을 더했습니다. 덕분에 침울한 사람을 찾아보기 힘들 정도로 사람들의 분위기를 고양했지만, 장기적으로 우습게 볼 문제가 아닙니다.;;;;;;;;;;;;;
EVTOPTA110;건배!;;;;;;;;;;;;;
EVTOPTB110;지역관에게 단속하도록 압력을 행사한다.;;;;;;;;;;;;;
EVTNAME120;주정뱅이 폭동!;;;;;;;;;;;;;
EVTDESC120;밤에 경찰이 $PROVINCENAME$ 지역의 술집을 급습하자 경찰과 공공기관에 대한 대규모 항의집회가 열렸습니다. 경찰관의 강압적인 지시에 반발한 주정뱅이 지역민들은 폭동을 일으키고 거리를 점거해 폭도처럼 깽판을 부리고 있습니다.;;;;;;;;;;;;;
EVTOPTA120;정말 골칫거리군.;;;;;;;;;;;;;
EVTNAME130;빈곤과 결핍;;;;;;;;;;;;;
EVTDESC130;극심한 알코올 중독에 동반하는 빈곤과 결핍을 비롯한 각종 사회적 문제가 $PROVINCENAME$을(를) 넘어 $STATENAME$ 전역으로 광범위하게 퍼졌습니다. $PROVINCENAME$의 금주운동 자원봉사자들은 $PROVINCENAME$에서 다수의 술집과 주점 영업을 허용한 조치를 문제의 원흉으로 지적합니다. 반면에 실업과 가혹한 노동환경이 알코올 중독이 광범위하게 퍼진 진정한 원인이라고 지적하는 소수 의견도 있습니다.;;;;;;;;;;;;;
EVTOPTA130;폐쇄하라!;;;;;;;;;;;;;
EVTOPTB130;이번엔 넘어가자.;;;;;;;;;;;;;
EVTNAME140;금주 시위;;;;;;;;;;;;;
EVTDESC140;오늘 $PROVINCENAME$에서 현지 금주동맹이 음주가 가정파괴, 결혼파탄, 기물파손에 더해 $STATENAME$에서 발생하는 각종 문제들의 원흉이라며 금주 시위를 벌였습니다. 집회 참가자들은 주점 폐쇄를 요구했으나 경찰의 만류로 시위 참가자들이 자력으로 주점을 파괴하는 데까지는 이르지 않았습니다.;;;;;;;;;;;;;
EVTOPTA140;폐쇄를 명령한다.;;;;;;;;;;;;;
EVTOPTB140;마시고 싶은 사람은 놔둬라.;;;;;;;;;;;;;
EVTNAME150;종교근본주의;;;;;;;;;;;;;
