GIVE_UNIT_COMMAND_BUTTON;지휘권 인수;;;;;;;;;;;;;
GIVE_UNIT_COMMANDTITLE;지휘권 인수;;;;;;;;;;;;;
GIVE_UNIT_COMMAND_DESC;전쟁에서 함께 싸우는 종속국/번국의 지휘권을 인수합니다.;;;;;;;;;;;;;
GIVE_UNIT_COMMAND_OK;종속국/번국의 지휘권을 인수합니다.;;;;;;;;;;;;;
GIVE_UNIT_COMMAND_CANT_CONTROL;[SUB_A7]Y종속국/번국[SUB_A7]W과 전쟁에서 함께 싸우고 있어야 합니다.;;;;;;;;;;;;;
GIVE_UNIT_COMMAND_ALREADY_CONTROL;이미 지휘하고 있습니다.;;;;;;;;;;;;;
CANCEL_UNIT_COMMAND_BUTTON;지휘권 반환;;;;;;;;;;;;;
CANCEL_UNIT_COMMANDTITLE;지휘권 반환;;;;;;;;;;;;;
CANCEL_UNIT_COMMAND_DESC;종속국/번국의 지휘권을 반환합니다.;;;;;;;;;;;;;
CANCEL_UNIT_COMMAND_OK;종속국/번국의 지휘권을 반환합니다.;;;;;;;;;;;;;
CANCEL_UNIT_COMMAND_NOT_IN_CONTROL;해당 부대를 지휘하고 있지 않습니다.;;;;;;;;;;;;;
cut_down_to_size_boxer_setup;중국에게 의화단의 범죄행위에 대한 배상을 요청합니다.;;;;;;;;;;;;;;
cut_down_to_size_boxer_short;중국 응징;;;;;;;;;;;;;
LACK_OF_MAINTENANCE_GOODS;유지품 부족;;;;;;;;;;;;;
AIREASON_TOO_MANY_CRISIS_WARGOALS;전쟁목표 추가;;;;;;;;;;;;;
AIREASON_NOT_OVERLORD;종주국 아님;;;;;;;;;;;;;
EVTNAME36230;북극곰 매입;;;;;;;;;;;;;
EVTDESC36230;얀마웬이 모든 북극곰을 좋은 가격에 매입하겠다고 제안했습니다. 그러면서 북극곰들을 치료해 장엄한 지적 생명체로서의 품위을 회복시키겠다 약속했습니다.;;;;;;;;;;;;;
EVTOPTA36230;좋아!;Okay!;;;;;;;;;;;;;
EVTOPTB36230;어림없는 소리!;Never!;;;;;;;;;;;;;
EVTNAME36231;덴마크의 북극곰 매입 수락;;;;;;;;;;;;;
EVTDESC36231;덴마크가 북극곰 매각에 동의했습니다.;;;;;;;;;;;;;
EVTOPTA36231;대단해!;;;;;;;;;;;;;
EVTNAME36232;덴마크의 북극곰 매입 거부;;;;;;;;;;;;;
EVTDESC36232;덴마크가 북극곰 매각을 거부했습니다.;;;;;;;;;;;;;
EVTOPTA36232;안돼!;;;;;;;;;;;;;
the_greenland_purchase_title;북극곰 매입;;;;;;;;;;;;;
the_greenland_purchase_desc;세계의 모든 북극곰이 하나의 깃발 아래 뭉치지 않다는 사실은 얀마옌에게 골치 아픈 사실입니다. 덴마크에 접근해서 북극곰들을 매각할 의향이 있는지 알아봐야 합니다.;;;;;;;;;;;;;
bears;북극곰;;;;;;;;;;;;;
polar_bears;북극곰;;;;;;;;;;;;;
INFLUENCE_SPHERE_NEIGHBOUR;영향권 국가와 인접;;;;;;;;;;;;;
col_liferate_techs;지역 생활등급 향상기술:;;;;;;;;;;;;;
unite_moldavia_wallachia_title;몰다비아-왈라키아 연합!;;;;;;;;;;;;;
unite_moldavia_wallachia_desc;몰다비아와 왈라키아 공국은 같은 깃발 아래 뭉쳐 통일 루마니아로서의 운명을 함께해야 합니다!;;;;;;;;;;;;;
SOIS_HAS_REBELS_WARNING;반란이 발생한 영향권 국가: [SUB_A7]Y$LIST$[SUB_A7]W;;;;;;;;;;;;;
ALLIANCE_INVALID_GPS_IN_CRISIS;[SUB_A7]Y분쟁[SUB_A7]W이 진행 중일 때는 [SUB_A7]Y강대국[SUB_A7]W끼리 동맹을 체결할 수 없습니다.;;;;;;;;;;;;;
BP_TOOL_ARROW_MEDIUM_1_DASHED;중간 점선 화살표 1;;;;;;;;;;;;;
BP_TOOL_ARROW_MEDIUM_2_DASHED;중간 점선 화살표 2;;;;;;;;;;;;;
BP_TOOL_ARROW_MEDIUM_3_DASHED;중간 점선 화살표 3;;;;;;;;;;;;;
BP_TOOL_ARROW_THICK_DASHED;굵은 점선 화살표;;;;;;;;;;;;;
BP_TOOL_ARROW_SLIM_DASHED;얇은 점선 화살표;;;;;;;;;;;;;
BP_OPEN_TOOLTIP;전투계획 편집기의 표시를 전환합니다.;;;;;;;;;;;;;
BP_TOGGLE_TOOLTIP;현재 전투계획의 표시를 전환합니다.;;;;;;;;;;;;;
EVTOPTC23212;식민화된 혜성은 좋은 위성을 만든다!;;;;;;;;;;;;;
liberate_liberia_title;라이베리아 해방;;;;;;;;;;;;;
liberate_liberia_desc;조지프 젠킨스 로버츠 주지사는 "자유롭고, 주권적이며, 독립적인 국가"를 선포했습니다. 이웃한 시에라리온 식민지를 경영하는 영국은 라이베리아와 그 모조직인 미국 식민지화협회를 주권을 행사할 자격이 없는 "개인"으로 간주했으므로 독립을 공식화하는 것이 시급하다고 여긴 것입니다. 미국 정부의 승인을 받았음에도 새로운 공화국의 의회에 의한 공식적인 외교적 인정은 남북 전쟁까지 이루어지지 않았습니다.;;;;;;;;;;;;;
liberian_constitution_title;라이베리아 헌법;;;;;;;;;;;;;
liberian_constitution_desc;불과 수년 전만 해도 식민지에 지나지 않았았지만, 지금은 자유롭고 주권적이며 독립적인 국가가 되기를 열망할만큼 강해졌습니다. 국민투표를 통과할 세 헌법 초안이 제출될 준비가 돼있습니다. 그것은 기본적인 시민권을 보장하고 미국의 헌법과 유사한 삼권분립을 확립하는 동시에 이 신생국을 미국 정부와 기관으로부터 분리합니다.;;;;;;;;;;;;;
liberian_research_boost;라이베리아 연구 지원;;;;;;;;;;;;;
desc_liberian_research_boost;현대화를 통해 빨리 진보하는 독립의 혜택을 누리고 있습니다. ;;;;;;;;;;;;;
form_scandinavia_NEWS_LONG;북쪽 땅들이 스칸디나비아를 결성해 하나로 뭉쳤습니다. 수요일 오후 5시 스톡홀름의 주요 광장을 메운 금발머리 남성들과 여성들로 구성된 군중들이 새로운 정치적 상황에 대해 즉각적으로 그리고 정중하게 찬성의 목소리를 냈습니다. 경찰은 한 남성이 자신의 집 밖에서 ;;;;;;;;;;;;;
form_scandinavia_NEWS_MEDIUM;북쪽 땅들이 스칸디나비아를 결성해 하나로 뭉쳤습니다. 수요일 오후 5시 스톡홀름의 주요 광장을 메운 금발머리 남성들과 여성들로 구성된 군중들이 새로운 정치적 상황에 대해 즉각적으로 그리고 정중하게 찬성의 목소리를 냈습니다.;;;;;;;;;;;;;
form_scandinavia_NEWS_SHORT;북쪽 땅들이 스칸디나비아를 결성해 하나로 뭉쳤습니다. 수요일 오후 5시 스톡홀름의 주요 광장을 메운 군중들이 새로운 정치적 상황에 대해 찬성의 목소리를 냈습니다.;;;;;;;;;;;;;
form_germany_NEWS_LONG;독일의 땅과 민족이 다시 한 번 뭉쳤습니다. 월요일 베를린에서 열린 기념식에서 독일의 통일이 선언됐습니다. 독일민족주의는 나폴레옹 시대 이후로 계속 증가해왔으며, 많은 정치인들은 이 사건을 피할 수 없다고 보았습니다. 하지만, 외교관들은 새로운 리바이어던이 유럽의 힘의 균형을 깨뜨릴 수 있으며, 새로운 독일이 현재의 안보체제에 도전한다면 유럽에서 전례 없는 규모의 전쟁이 발발할 수 있다는 우려를 표출하고 있습니다.;;;;;;;;;;;;;
form_germany_NEWS_MEDIUM;독일의 땅과 민족이 다시 한 번 뭉쳤습니다. 독일민족주의는 나폴레옹 시대 이후로 계속 증가해왔으며, 많은 정치인들은 이 사건을 피할 수 없다고 보았습니다. 하지만, 외교관들은 새로운 독일이 현재의 안보체제에 도전한다면 유럽에서 전례 없는 규모의 전쟁이 발발할 수 있다는 우려를 표출하고 있습니다.;;;;;;;;;;;;;
form_germany_NEWS_SHORT;독일의 땅과 민족이 다시 한 번 뭉쳤습니다. 외교관들은 새로운 독일이 현재의 안보체제에 도전한다면 유럽에서 전례 없는 규모의 전쟁이 발발할 수 있다는 우려를 표출하고 있습니다.;;;;;;;;;;;;;
form_italy_NEWS_LONG;이탈리아가 하나로 뭉쳤습니다. 국민이 떠들썩하게 일어나 한목소리로 통일을 요구하자 새 국가가 선포됐습니다. 비록 학식있고 온화한 사람들은 이 신생국이 이웃들을 위협할 힘이 아직 없다고 말하지만, 일각에서는 이탈리아인이 거주하는 땅들을 회복하려 할지도 모른다는 불안감을 표출하고 있습니다. 이탈리아 만세!;;;;;;;;;;;;;
form_italy_NEWS_MEDIUM;이탈리아가 하나로 뭉쳤습니다. 국민이 떠들썩하게 일어나 한목소리로 통일을 요구하자 새 국가가 선포됐습니다. 그러나 일각에서는 이탈리아인이 거주하는 땅들을 회복하려 할지도 모른다는 불안감을 표출하고 있습니다. 이탈리아 만세!;;;;;;;;;;;;;
form_italy_NEWS_SHORT;이탈리아가 하나로 뭉쳤습니다. 이탈리아인들은 동포들이 거주하는 땅들을 회복하려 합니다. 이탈리아 만세!;;;;;;;;;;;;;
the_meiji_restoration_NEWS_LONG;서구 영향력의 일본 침투는 천년이상 열도를 지배했던 봉건제도의 전복과 천황의 복권으로 절정에 달했습니다. 막부가 천황에게 권력을 이양하고 메이지시대가 선포되면서 사회, 정치, 경제개혁이 이뤄지는 새로운 시대가 선포됐습니다. 일부 사람들은 새로운 일본이 아시아에서의 유럽의 이익에 도전할 것이라는 우려를 표명하지만, 새로운 계몽정부 하에서 떠오르는 태양의 땅에게는 분명 밝은 미래가 기다리고 있을 것입니다.;;;;;;;;;;;;;
the_meiji_restoration_NEWS_MEDIUM;서구 영향력의 일본 침투는 천년이상 열도를 지배했던 봉건제도의 전복과 천황의 복권으로 절정에 달했습니다. 막부가 천황에게 권력을 이양하고 메이지시대가 선포되면서 사회, 정치, 경제개혁이 이뤄지는 새로운 시대가 선포됐습니다.;;;;;;;;;;;;;
the_meiji_restoration_NEWS_SHORT;막부가 천황에게 권력을 이양하고 메이지시대가 선포되면서 사회, 정치, 경제개혁이 이뤄지는 새로운 시대가 선포됐습니다.;;;;;;;;;;;;;
kiel_canal_NEWS_LONG;상인과 해군의 이해관계가 맞아떨어져 $TAG0_0$이 선박들이 유틀란트 주변의 폭풍우치는 바다를 항해하지 않고도 발트 해와 북해 사이를 항해할 수 있는 인공수로를 건설하는 계획에 착수했습니다. 98킬로미터의 이 운하는 세계에서 가장 바쁜 인공 수로가 될 것으로 예상됩니다. 이 계획은 모든 해양 국가들을 위한 상업에 새로운 추진력을 제공하고 전쟁과 정복보다는 제조, 무역, 공학을 통해 국가의 위대함을 달성할 수 있음을 증명합니다.;;;;;;;;;;;;;
kiel_canal_NEWS_MEDIUM;61마일의 긴 운하는 세계에서 가장 북적거리는 인공 수로가 될 것입니다. 해당 계획은 상업에 새로운 자극을 주며, 국가의 위대함이 전쟁과 정복보다는 제조, 무역, 공학을 통해 성취됨을 증명합니다.;;;;;;;;;;;;;
kiel_canal_NEWS_SHORT;61마일의 긴 운하는 세계에서 가장 북적거리는 인공 수로가 될 것입니다.;;;;;;;;;;;;;
suez_canal_NEWS_LONG;첫 배가 수에즈해협을 통과하면서 $TAG0_0$도 쾌거를 느꼈습니다. 현대 공학의 진정한 경이로움의 결과물인 길이 164킬로미터, 깊이 8미터의 수에즈 운하는 곧 세계에서 활발한 주요 운송 항로가 될 것으로 기대받고 있으며, 화물 운송 비용을 낮추고 전 세계의 상업에 힘을 실어줄 것입니다. 회의론자들은 운하 개발의 중요성을 폄하하기 위해 '뱃삯이 유지비와 맞먹기 때문에 아프리카 항로가 여전히 지배적일 것이다'라고 주장합니다.;;;;;;;;;;;;;
suez_canal_NEWS_MEDIUM;첫 배가 수에즈해협을 통과하면서 $TAG0_0$도 쾌거를 느꼈습니다. 현대 공학의 진정한 경이로움의 결과물인 길이 164킬로미터, 깊이 8미터의 수에즈 운하는 곧 세계에서 활발한 주요 운송 항로가 될 것으로 기대받고 있으며, 화물 운송 비용을 낮추고 전 세계의 상업에 힘을 실어줄 것입니다.;;;;;;;;;;;;;
suez_canal_NEWS_SHORT;첫 배가 길이 164킬로미터, 깊이 8미터의 수에즈 운하를 통해 수에즈해협을 통과하면서 $TAG0_0$도 쾌거를 느꼈습니다.;;;;;;;;;;;;;
panama_canal_NEWS_LONG;파나마해협을 통과하는 운하의 개통은 $TAG0_0$에게 자랑스러운 일입니다. 운하의 길이는 77킬로미터이며 양쪽 끝에는 가장 복잡한 자물쇠가 달려 있습니다. 이 운하는 세계에서 가장 건강에 해로운 지역에 지어졌습니다. 따라서 이 운하는 현대 공학만큼이나 현대 의학의 금자탑입니다. 전문가들은 또한 이 운하가 빠르게 국제 해상 무역의 중요한 관로가 될 것으로 기대합니다. 또한 전문가들은 이 운하가 전시에 운하를 지배하는 국가에게 큰 전략적 이점을 제공할 것이라고 주장합니다.;;;;;;;;;;;;;
