Key;English;;;;;;;;;;;;;
#1.1
HAVE_MILITARY_SCORE_LESS_THAN; 군사력 < ;;;;;;;;;;;;;
STRATA_NEED_LESS_THAN; 욕구 충족 < ;;;;;;;;;;;;;
STRATA_NEED_MORE_THAN; 욕구 충족 ≥ ;;;;;;;;;;;;;
HAVE_LESS_POPS_WANTING_POLITICAL_REFORM_THAN; 정치개혁 지지 < $VAL$;;;;;;;;;;;;;
HAVE_MORE_POPS_WANTING_POLITICAL_REFORM_THAN; 정치개혁 지지 ≥ $VAL$;;;;;;;;;;;;;
HAVE_LESS_POPS_WANTING_SOCIAL_REFORM_THAN; 사회개혁 지지 < $VAL$;;;;;;;;;;;;;
HAVE_MORE_POPS_WANTING_SOCIAL_REFORM_THAN; 사회개혁 지지 ≥ $VAL$;;;;;;;;;;;;;
CSA_proletarian_dictatorship;미연합국;;;;;;;;;;;;;
USA_presidential_dictatorship;미합중국;;;;;;;;;;;;;
CSA_presidential_dictatorship;미연합국;;;;;;;;;;;;;
USA_bourgeois_dictatorship;미합중국;;;;;;;;;;;;;
CSA_bourgeois_dictatorship;미연합국;;;;;;;;;;;;;
USA_fascist_dictatorship;미합중국;;;;;;;;;;;;;
CSA_fascist_dictatorship;미연합국;;;;;;;;;;;;;
REMOVE_USA_prussian_constitutionalism;미합중국;;;;;;;;;;;;;
CSA_prussian_constitutionalism;미연합국;;;;;;;;;;;;;
USA_democracy;미합중국;;;;;;;;;;;;;
CSA_democracy;미연합국;;;;;;;;;;;;;
CAL_absolute_monarchy;캘리포니아;;;;;;;;;;;;;
CAL_hms_government;캘리포니아;;;;;;;;;;;;;
DOM_absolute_monarchy;산토도밍고;;;;;;;;;;;;;
DOM_hms_government;산토도밍고;;;;;;;;;;;;;
ENG_democracy;그레이트브리튼
TECH_DAILY_LEADERSHIP_BASE_TOOLTIP;월간 기본 지휘력: [SUB_A7]Y$VALUE$[SUB_A7]W;;;;;;;;;;;;;
TECH_DAILY_LEADERSHIP_TOTAL_TOOLTIP;월간 지휘력: [SUB_A7]G+$VALUE$[SUB_A7]W;;;;;;;;;;;;;
